City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,La Palma,US,75.74,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
514,Santa Isabel Do Rio Negro,BR,77.41,overcast clouds,-0.4139,-65.0192,Hotel GSA
517,Sao Jose Da Coroa Grande,BR,79.61,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
518,Pecos,US,83.23,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
519,Mackay,AU,84.69,scattered clouds,-21.15,149.2,International Lodge Motel
521,Kigoma,TZ,74.25,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
523,Descalvado,BR,83.28,scattered clouds,-21.9039,-47.6194,Hotel Descalvado
528,Saint-Leu,RE,77.83,clear sky,-21.15,55.2833,La Caz Oceane
530,Santa Cruz,BO,85.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
531,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
533,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
534,Mukono,UG,69.55,light rain,0.3533,32.7553,Vegas Motel
535,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
539,Geraldton,AU,72.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
541,Japura,ID,73.96,heavy intensity rain,-0.3167,102.35,Rumah mbah Jamah
542,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
543,Tallahassee,US,75.4,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
544,Puerto Del Rosario,ES,65.95,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
547,Dillon,US,79.14,clear sky,34.4166,-79.3712,Dillon Express Inn
548,Guerrero Negro,MX,69.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
549,Sao Luiz Gonzaga,BR,81.16,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
552,Luanshya,ZM,69.98,broken clouds,-13.1367,28.4166,CHOLWA GUEST HOUSE
554,Dangriga,BZ,82.98,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
557,Frontera,MX,87.55,few clouds,26.9333,-101.45,Casagrande Hotel
560,Gatton,AU,78.42,few clouds,-27.55,152.2833,Room Motels Gatton
561,Port Blair,IN,79.25,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
565,Bowen,AU,79.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
566,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
567,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
570,Guiratinga,BR,77.63,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
571,Namatanai,PG,81.73,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
572,Mocuba,MZ,80.94,clear sky,-16.8392,36.9856,Phama Lodge
576,Purwodadi,ID,78.51,overcast clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
577,Alagoinhas,BR,75.04,overcast clouds,-12.1356,-38.4192,Alagoinhas Plaza Hotel
578,Saint Pete Beach,US,75.67,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
579,Honiara,SB,84.15,overcast clouds,-9.4333,159.95,Heritage Park Hotel
580,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
582,Upington,ZA,66.58,light rain,-28.4478,21.2561,River Place Manor
583,Lazaro Cardenas,MX,83.41,broken clouds,17.9583,-102.2,quinta antigua
587,Roatan,HN,82.27,broken clouds,16.3244,-86.5366,Hotel Henry Morgan
590,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
592,Ixtapa,MX,82.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
596,Ciudad Ojeda,VE,82.51,scattered clouds,10.1964,-71.3082,Amira minimarket
599,Chillan,CL,77.32,few clouds,-36.6066,-72.1034,Hotel Rukalaf
602,Coruripe,BR,79.52,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
607,Pandan,PH,76.14,overcast clouds,14.0453,124.1694,Bonifacio Lodge
608,Florian,CO,66.52,overcast clouds,5.8049,-73.9703,Jose plasas
611,Voh,NC,83.86,light rain,-20.9667,164.7,Le gîte du Koniambo
616,Palauig,PH,75.29,broken clouds,15.435,119.9045,Alperi Botique Resort
618,Uruguaiana,BR,85.93,clear sky,-29.7547,-57.0883,Fares Turis Hotel
621,Kampot,KH,77.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
624,Dedougou,BF,79.9,broken clouds,12.4667,-3.4667,Hôtel Bon Séjour
630,Gudari,IN,66.22,overcast clouds,19.35,83.7833,Hotel maa majhigouri
631,Calabozo,VE,87.28,overcast clouds,8.9242,-67.4293,Hotel Giardini
633,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
