City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
381,Esperance,AU,-33.8667,121.9,53.44,76,0,11.23,clear sky
382,Zvishavane,ZW,-20.3267,30.0665,78.06,38,6,2.98,clear sky
383,San Juan,AR,-31.5375,-68.5364,74.97,48,80,19.8,broken clouds
384,Bucerias,MX,20.75,-105.3333,82.98,69,1,9.22,clear sky
385,Saint-Augustin,CA,51.226,-58.6502,38.12,99,100,9.46,overcast clouds
386,Shelburne,CA,44.0787,-80.2041,30.76,77,62,7.34,broken clouds
387,Guadalupe Y Calvo,MX,26.1,-106.9667,63.05,28,18,8.41,few clouds
388,Porto Novo,BJ,6.4965,2.6036,84.02,82,100,7.09,overcast clouds
389,Abashiri,JP,44.0213,144.2697,38.95,74,100,13.2,overcast clouds
390,Grand-Lahou,CI,5.1367,-5.0242,79.79,84,78,8.12,broken clouds
391,Waddan,LY,29.1614,16.139,63.57,16,93,11.54,overcast clouds
392,Sonamukhi,IN,23.3,87.4167,69.01,61,98,5.26,overcast clouds
393,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,76.3,91,95,2.64,overcast clouds
394,Mandali,IQ,33.7499,45.5541,54.82,42,2,8.61,clear sky
395,Ketchikan,US,55.3422,-131.6461,34.27,93,75,6.91,light snow
396,Coos Bay,US,43.3665,-124.2179,56.93,85,1,6.91,clear sky
397,Iskateley,RU,67.6803,53.1512,-7.69,96,27,5.97,scattered clouds
398,Yaan,NG,7.3833,8.5667,81.45,21,52,0.36,broken clouds
399,Bara,NG,10.3744,10.7288,76.84,27,13,6.31,few clouds
400,Altagracia De Orituco,VE,9.8601,-66.3814,77.04,73,74,5.93,broken clouds
401,Aksay,RU,47.26,39.87,48.42,77,97,11.99,overcast clouds
402,Coihaique,CL,-45.5752,-72.0662,67.95,30,20,5.75,few clouds
403,Hearst,CA,49.6835,-83.6665,5.25,90,100,2.1,overcast clouds
404,Maniitsoq,GL,65.4167,-52.9,23.7,54,100,23.8,overcast clouds
405,Parit Buntar,MY,5.1267,100.4932,78.94,91,99,1.54,overcast clouds
406,Kez,RU,57.8979,53.7152,25.74,96,99,4.36,overcast clouds
407,Sola,VU,-13.8833,167.55,81.27,83,90,4.61,overcast clouds
408,Omboue,GA,-1.5746,9.2618,76.19,91,100,4.74,moderate rain
409,Araouane,ML,18.9048,-3.5265,71.55,16,89,10.98,overcast clouds
410,Gamba,GA,-2.65,10.0,77.16,89,100,3.15,light rain
411,Dandong,CN,40.1292,124.3947,26.82,57,32,4.94,scattered clouds
